in_vivo_day_length_hrs,in_vivo_peak_time_hrs_after_dawn,in_vivo_peak_time_stdev_hrs,in_vitro_day_length_hrs,in_vitro_peak_time_hrs_after_dawn,in_vitro_peak_time_stdev_hrs
4,13.795,0.388544291769513,6,5.93999995258383,0.352136865384901
6,12.96,0.276526068692743,8,7.60219786372073,0.481764654145561
8,13.25875,0.522724661201832,10,8.43266636866548,0.314866953656854
9,13.275,0.375461620637085,12,9.50881658713567,0.311197475653291
10,13.7425,0.282172692816699,14,10.378630871684,0.282506571732158
11,14.305,0.237787420068553,18,12.1922265340646,0.35978585138941
12,14.6175,0.438560958460406,NaN,NaN,NaN
13,15.1375,0.425398972394487,NaN,NaN,NaN
14,15.60625,0.401672841288247,NaN,NaN,NaN
16,16.905,0.524703998187826,NaN,NaN,NaN
18,18.36,0.415554706730314,NaN,NaN,NaN
20,19.04875,0.499211878865079,NaN,NaN,NaN
